,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
1015,246.0,0.491,501.0,1.0,0.067,15.0,91.0,36.0,62.0,280.0,247.0,0.479,516.0,121.0,0.7759999999999999,156.0,61.0,42.0,NBA,1299.0,51.0,137.0,616.0,Artis Gilmore,C,40.0,2000-01,85.0,331.0,POR,0.48
1016,169.0,0.47600000000000003,355.0,3.0,0.5,6.0,142.0,38.0,49.0,247.0,172.0,0.47600000000000003,361.0,129.0,0.787,164.0,78.0,1.0,NBA,1209.0,88.0,141.0,476.0,Artis Gilmore,C,61.0,2002-03,75.0,335.0,POR,0.48100000000000004
1017,1946.0,0.52,3745.0,136.0,0.32799999999999996,415.0,964.0,,494.0,2702.0,2082.0,0.5,4160.0,1329.0,0.7859999999999999,1690.0,470.0,314.0,NBA,11375.0,734.0,1290.0,5629.0,Artis Gilmore,,370.0,Career,837.0,3436.0,,0.517
1018,806.0,0.598,1348.0,0.0,,0.0,230.0,22.0,422.0,1070.0,806.0,0.598,1348.0,391.0,0.6459999999999999,605.0,84.0,,ABA,3666.0,421.0,280.0,2003.0,Teresa Edwards,C,,1971-72,335.0,1491.0,KEN,0.598
1019,686.0,0.56,1226.0,1.0,0.5,2.0,295.0,23.0,259.0,1027.0,687.0,0.5589999999999999,1228.0,368.0,0.643,572.0,84.0,,ABA,3502.0,449.0,302.0,1743.0,Teresa Edwards,C,,1972-73,286.0,1476.0,KEN,0.56
1020,621.0,0.494,1257.0,0.0,0.0,3.0,329.0,24.0,287.0,1060.0,621.0,0.493,1260.0,326.0,0.667,489.0,84.0,,ABA,3502.0,478.0,302.0,1568.0,Teresa Edwards,C,57.0,1973-74,319.0,1538.0,KEN,0.493
1021,783.0,0.58,1349.0,1.0,0.5,2.0,208.0,25.0,258.0,934.0,784.0,0.58,1351.0,412.0,0.696,592.0,84.0,,ABA,3493.0,427.0,318.0,1981.0,Teresa Edwards,C,63.0,1974-75,344.0,1361.0,KEN,0.581
1022,773.0,0.552,1401.0,0.0,,0.0,211.0,26.0,205.0,901.0,773.0,0.552,1401.0,521.0,0.682,764.0,84.0,,ABA,3286.0,402.0,341.0,2067.0,Teresa Edwards,C,58.0,1975-76,295.0,1303.0,KEN,0.552
1023,570.0,0.522,1091.0,,,,199.0,27.0,203.0,757.0,570.0,0.522,1091.0,387.0,0.66,586.0,82.0,,NBA,2877.0,313.0,266.0,1527.0,Teresa Edwards,C,44.0,1976-77,,1070.0,CHI,0.522
1024,704.0,0.5589999999999999,1260.0,,,,263.0,28.0,181.0,753.0,704.0,0.5589999999999999,1260.0,471.0,0.7040000000000001,669.0,82.0,,NBA,3067.0,318.0,261.0,1879.0,Teresa Edwards,C,42.0,1977-78,366.0,1071.0,CHI,0.5589999999999999
